,Jurisdiction,LAhalfand10,Pop2010,OHU2010,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LOWI_per
46,Ohio,1,8299368,3354641,2657295.0,1960152.0,1170465.0,6619994.0,1197782.0,162360.0,3270.0,18246.0,297716.0,286487.0,288672.0,481188.0,0.3201804040982398
47,Pennsylvania,0,4625668,1820621,1480945.0,1023994.0,696235.0,3750094.0,535846.0,105538.0,1407.0,11496.0,221287.0,316113.0,232688.0,263545.0,0.3201580831136173
48,Michigan,0,3123080,1208834,999208.0,746562.0,450234.0,2714347.0,242605.0,35719.0,758.0,24038.0,105613.0,128894.0,77131.0,159863.0,0.3199431330609526
49,Illinois,0,3709641,1447263,1181588.0,858968.0,431713.0,2565346.0,523181.0,156524.0,1292.0,15161.0,448137.0,793166.0,246856.0,197161.0,0.3185181531043031
50,Missouri,1,4385763,1747583,1394690.0,1041622.0,603331.0,3509100.0,610131.0,84366.0,4997.0,18406.0,158763.0,165004.0,130266.0,203730.0,0.31800395963028555
51,South Dakota,1,599970,239862,190439.0,145717.0,86006.0,523202.0,8857.0,6506.0,315.0,42151.0,18939.0,17209.0,13828.0,23840.0,0.3174142040435355
52,United States,1,217613053,81982340,69046369.0,52957586.0,28202843.0,155965656.0,28776503.0,10765064.0,410535.0,1968964.0,19726331.0,36040953.0,5879872.0,9916554.0,0.31728964806169047
53,California,1,27075622,9046140,8541621.0,6882976.0,3135933.0,15905560.0,1678386.0,3491287.0,107413.0,250707.0,5642269.0,9742564.0,525658.0,819417.0,0.31547275257425295
54,Kansas,1,2286478,893797,706665.0,580409.0,295557.0,1884575.0,151227.0,61486.0,1986.0,22009.0,165195.0,252636.0,51457.0,74218.0,0.3090626719347398
55,Rhode Island,0,207761,79265,63825.0,46886.0,25662.0,155779.0,15493.0,7576.0,139.0,1722.0,27052.0,38435.0,9688.0,15213.0,0.3072039506933448
56,Delaware,0,239335,88929,73124.0,58073.0,33980.0,175912.0,42405.0,3339.0,143.0,1606.0,15930.0,22085.0,5279.0,12903.0,0.3055299057806004
57,Utah,1,2409862,758245,736052.0,763782.0,215834.0,2067331.0,26079.0,49069.0,22182.0,30026.0,215175.0,318831.0,33741.0,60697.0,0.3054332571740622
58,Utah,0,354023,119447,107448.0,107245.0,33628.0,312229.0,3208.0,6216.0,2372.0,2901.0,27097.0,39509.0,5747.0,8325.0,0.303505704431633
59,Vermont,1,225161,92917,67922.0,44356.0,31816.0,210365.0,3769.0,4688.0,74.0,710.0,5555.0,4087.0,9166.0,13418.0,0.30165970128041714
60,Iowa,1,2096806,842205,628356.0,498083.0,304148.0,1877810.0,77941.0,44992.0,1679.0,7892.0,86492.0,120286.0,54646.0,102854.0,0.2996729311152295
61,Nebraska,1,1455811,572623,434343.0,368167.0,189821.0,1241786.0,72921.0,28552.0,1110.0,11842.0,99600.0,140569.0,32579.0,52590.0,0.2983512282844408
62,Maine,1,464470,196835,137909.0,91736.0,76676.0,435546.0,7682.0,7332.0,130.0,3358.0,10422.0,7170.0,17288.0,27441.0,0.2969169160548582
63,Ohio,0,3237136,1248794,960530.0,770599.0,451550.0,2919443.0,209899.0,29873.0,796.0,7046.0,70079.0,68187.0,92173.0,155475.0,0.2967221642834901
64,Maine,0,863891,360384,255976.0,182797.0,134404.0,829425.0,8025.0,6239.0,212.0,5210.0,14780.0,9765.0,23444.0,52097.0,0.2963058997026245
65,District of Columbia,0,304072,146855,89667.0,44205.0,31145.0,132227.0,131411.0,12299.0,193.0,1224.0,26718.0,36215.0,61504.0,17473.0,0.29488739509063644
66,Massachusetts,0,1573161,625373,462225.0,314648.0,186069.0,1149338.0,153882.0,103388.0,667.0,5907.0,159979.0,214584.0,138628.0,100401.0,0.29381925944007004
67,Colorado,1,4073540,1585335,1176894.0,1006162.0,443671.0,3263383.0,181958.0,123697.0,5737.0,45362.0,453403.0,879429.0,87539.0,141713.0,0.28891185553597115
68,Washington,0,1551687,624638,447030.0,335509.0,205988.0,1279768.0,32098.0,69362.0,5015.0,34979.0,130465.0,154365.0,62521.0,79732.0,0.28809289502328755
69,Hawaii,0,408055,153966,117143.0,82634.0,60612.0,104969.0,4869.0,160503.0,42671.0,1342.0,93701.0,34435.0,21322.0,20271.0,0.2870764970408401
70,Nebraska,0,370530,148507,106259.0,91054.0,56856.0,331052.0,9964.0,3741.0,169.0,6585.0,19019.0,26836.0,7886.0,12647.0,0.28677569967344074
71,Wyoming,0,137770,52261,39444.0,36212.0,15520.0,120061.0,640.0,756.0,103.0,8315.0,7895.0,13073.0,1580.0,3681.0,0.28630325905494663
72,Washington,1,5172853,1995438,1476500.0,1245845.0,621689.0,3916594.0,207944.0,411705.0,35460.0,68890.0,532260.0,601425.0,129644.0,270879.0,0.28543242964762383
73,Wisconsin,1,3733084,1514282,1059719.0,879492.0,510219.0,3161895.0,266061.0,105710.0,1266.0,31152.0,167000.0,228123.0,109439.0,187980.0,0.28387226218322437
74,Virginia,0,2297907,920901,645971.0,489521.0,322558.0,1792358.0,329309.0,65911.0,1041.0,8285.0,101003.0,132209.0,61170.0,86757.0,0.28111276914165806
75,North Dakota,0,115267,44841,32144.0,29395.0,17023.0,93703.0,535.0,378.0,51.0,18299.0,2301.0,2011.0,1968.0,3945.0,0.27886559032507136
76,Kansas,0,566640,218299,157951.0,146530.0,80559.0,506469.0,16637.0,6276.0,252.0,6141.0,30865.0,47406.0,9279.0,16467.0,0.2787501764788931
77,North Dakota,1,557324,236351,154167.0,120476.0,80454.0,511746.0,7425.0,6531.0,269.0,18292.0,13061.0,11456.0,13974.0,17796.0,0.27662006301540937
78,Indiana,0,1991812,752270,550335.0,497900.0,272925.0,1868051.0,54904.0,14253.0,470.0,4984.0,49150.0,59916.0,38680.0,60927.0,0.2762986667416403
79,Wyoming,1,425856,174618,117110.0,99190.0,54570.0,391218.0,4108.0,3670.0,324.0,5021.0,21515.0,37158.0,7293.0,9558.0,0.2749990607153592
80,Illinois,1,9120991,3389709,2503342.0,2270211.0,1177500.0,6612531.0,1343233.0,430410.0,2758.0,28802.0,703257.0,1234412.0,275951.0,433867.0,0.27445943099823256
81,Wisconsin,0,1953902,765486,532677.0,460000.0,267095.0,1740172.0,93087.0,23524.0,561.0,23374.0,73184.0,107933.0,48700.0,81651.0,0.27262216835849495
82,Colorado,0,955656,387533,258340.0,219447.0,105954.0,825819.0,19779.0,15331.0,886.0,10648.0,83193.0,159258.0,21307.0,26530.0,0.27032739814326495
83,South Dakota,0,214210,82420,57374.0,51738.0,29776.0,175793.0,1346.0,1090.0,77.0,16630.0,5688.0,4612.0,3423.0,7275.0,0.2678399701227767
84,Rhode Island,1,844806,334335,224200.0,177070.0,126219.0,701090.0,44696.0,22881.0,415.0,4336.0,71388.0,92220.0,29943.0,50442.0,0.26538637272936033
85,Delaware,1,658599,253368,173600.0,147692.0,95297.0,442705.0,149409.0,25210.0,257.0,2575.0,38443.0,51136.0,16419.0,28731.0,0.26358983235625927
86,Pennsylvania,1,8076711,3198283,2110894.0,1768161.0,1263072.0,6656194.0,841843.0,243550.0,2246.0,15347.0,317531.0,403547.0,320002.0,399921.0,0.26135564340484635
87,Minnesota,0,1428870,565233,368807.0,345444.0,192478.0,1262985.0,56984.0,34004.0,532.0,19850.0,54515.0,61401.0,43694.0,49261.0,0.2581109548104446
88,Connecticut,0,803508,306098,206748.0,190974.0,100268.0,613389.0,81742.0,23196.0,399.0,3247.0,81535.0,132694.0,34130.0,46417.0,0.25730671007631534
89,Alaska,1,523668,190727,134581.0,138068.0,40634.0,336630.0,20273.0,32721.0,6674.0,78812.0,48558.0,31307.0,18259.0,20484.0,0.2569967994989192
90,Iowa,0,949549,379371,240650.0,229910.0,148740.0,903751.0,11207.0,8102.0,324.0,3192.0,22973.0,31258.0,17199.0,31271.0,0.25343610492981405
91,Virginia,1,5703117,2135157,1433859.0,1364156.0,654379.0,3694494.0,1222090.0,373979.0,4939.0,20940.0,386675.0,499616.0,133760.0,184962.0,0.25141672527496806
92,Minnesota,1,3875055,1521994,960228.0,938619.0,490643.0,3261077.0,217428.0,180230.0,1624.0,41066.0,173630.0,188857.0,105288.0,129343.0,0.24779725707118996
93,Vermont,0,400580,163525,98191.0,84877.0,59262.0,385927.0,2508.0,3259.0,86.0,1497.0,7303.0,5121.0,8094.0,17683.0,0.24512207299415847
94,Maryland,0,1358493,517251,331091.0,300832.0,177829.0,915801.0,315557.0,44104.0,732.0,5083.0,77216.0,97529.0,62023.0,61216.0,0.2437193272250943
95,Alaska,0,186563,67331,42372.0,46209.0,13900.0,136745.0,2989.0,5396.0,735.0,18974.0,14265.0,7935.0,4215.0,5371.0,0.2271189892958411
96,New York,1,8310458,3079388,1881071.0,1884341.0,1215706.0,6523647.0,875478.0,376300.0,2665.0,33900.0,498468.0,871581.0,305198.0,319427.0,0.22634985941809704
97,Maryland,1,4415059,1639160,974705.0,1052132.0,529813.0,2443483.0,1384741.0,274749.0,2425.0,15337.0,294324.0,373103.0,134230.0,170874.0,0.22076828418374478
98,Massachusetts,1,4974468,1921702,1064471.0,1104275.0,716655.0,4115898.0,280516.0,246380.0,1556.0,12943.0,317175.0,413070.0,184659.0,212606.0,0.21398690272004967
99,Connecticut,1,2770589,1064989,589524.0,626041.0,406291.0,2159021.0,280554.0,112369.0,1029.0,8009.0,209607.0,346393.0,87111.0,120605.0,0.2127793043284298
100,Hawaii,1,952246,301372,201025.0,221184.0,134526.0,231630.0,16555.0,364575.0,92751.0,2822.0,243913.0,86407.0,16257.0,30626.0,0.21110616374340244
101,New Hampshire,1,718473,284043,144732.0,156100.0,97091.0,663837.0,10621.0,20244.0,215.0,1724.0,21832.0,25371.0,16884.0,22227.0,0.20144389559524156
102,New Hampshire,0,597997,234930,116325.0,131134.0,81177.0,572213.0,4414.0,8163.0,169.0,1426.0,11612.0,11333.0,10416.0,15832.0,0.19452438724608986
103,New Jersey,1,6419693,2361138,1237098.0,1501606.0,921596.0,4678634.0,728033.0,566333.0,2058.0,15721.0,428914.0,817457.0,178330.0,159539.0,0.19270360747780307
